,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
skip-0_non-skip-1_dropout:False_reduction:False_R2Loss,tensor(-0.0559),tensor(-0.1579),tensor(-0.1988),tensor(-0.1082),tensor(-0.0603),tensor(-0.1334),tensor(-0.0865),tensor(-0.0422),tensor(-0.0229),tensor(-0.1499),tensor(-0.0814),tensor(-0.5616),tensor(0.0424),tensor(-0.0642),tensor(0.0270),tensor(-0.1205),tensor(0.0208),tensor(0.0554),tensor(0.0790),tensor(0.1423),tensor(0.1597),tensor(-0.0819),tensor(0.2378),tensor(0.2229),tensor(0.2625),tensor(0.2020),tensor(0.1249),tensor(-7.9235),tensor(0.3677),tensor(0.1067),tensor(-2.0348),tensor(0.3237),tensor(0.4366),tensor(0.1165),tensor(0.3341),tensor(0.4492),tensor(0.4831),tensor(-0.1002),tensor(0.4834),tensor(0.1971),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-0_non-skip-2_dropout:False_reduction:False_R2Loss,tensor(0.1375),tensor(0.1588),tensor(0.0267),tensor(0.1701),tensor(0.1953),tensor(0.1124),tensor(0.1637),tensor(0.1400),tensor(0.1836),tensor(0.1624),tensor(0.3011),tensor(0.2868),tensor(0.2921),tensor(0.1658),tensor(0.2973),tensor(0.3607),tensor(0.3442),tensor(0.4020),tensor(0.4219),tensor(0.4393),tensor(0.4112),tensor(0.4413),tensor(0.1162),tensor(0.3972),tensor(0.4971),tensor(0.2886),tensor(0.5052),tensor(0.4942),tensor(0.3625),tensor(0.4764),tensor(0.4779),tensor(0.4984),tensor(0.5082),tensor(0.5361),tensor(0.3040),tensor(0.5191),tensor(0.5384),tensor(0.5894),tensor(0.5382),tensor(0.4390),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-0_non-skip-3_dropout:False_reduction:False_R2Loss,tensor(-0.4356),tensor(-0.2829),tensor(-0.4698),tensor(-0.2049),tensor(-0.3378),tensor(-0.2623),tensor(-0.0499),tensor(-0.0282),tensor(0.0599),tensor(0.1038),tensor(0.0771),tensor(0.0379),tensor(0.2472),tensor(0.2615),tensor(0.1865),tensor(0.2739),tensor(0.3194),tensor(0.4121),tensor(0.3143),tensor(0.4645),tensor(0.2970),tensor(0.4978),tensor(0.2611),tensor(0.5083),tensor(0.5162),tensor(0.1123),tensor(0.5084),tensor(0.5319),tensor(0.4597),tensor(0.5697),tensor(0.5067),tensor(0.5551),tensor(0.5624),tensor(0.5406),tensor(0.4790),tensor(0.4231),tensor(0.4756),tensor(0.5449),tensor(0.5503),tensor(0.5532),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-0_non-skip-4_dropout:False_reduction:False_R2Loss,tensor(0.0702),tensor(0.2242),tensor(0.2126),tensor(0.2004),tensor(0.2030),tensor(0.3215),tensor(0.3062),tensor(0.3437),tensor(0.2322),tensor(0.3803),tensor(0.3118),tensor(0.4264),tensor(0.4379),tensor(0.4299),tensor(0.4902),tensor(0.4363),tensor(0.5075),tensor(0.4080),tensor(0.4772),tensor(0.4790),tensor(0.5130),tensor(0.4230),tensor(0.5341),tensor(0.5358),tensor(0.1953),tensor(0.4914),tensor(0.5110),tensor(0.4354),tensor(0.5315),tensor(0.5423),tensor(0.5040),tensor(0.5480),tensor(0.4006),tensor(0.5129),tensor(0.5062),tensor(0.5150),tensor(0.5141),tensor(0.4991),tensor(0.3725),tensor(0.4951),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-0_non-skip-1_dropout:False_reduction:True_R2Loss,tensor(-3730.6985),tensor(-3784.7139),tensor(-5041.5327),tensor(-2735.3457),tensor(-2677.6042),tensor(-3781.0977),tensor(-2778.0459),tensor(-2842.3013),tensor(-2930.8748),tensor(-2155.0291),tensor(-2152.5393),tensor(-1978.6960),tensor(-1819.1678),tensor(-2356.4299),tensor(-1674.8706),tensor(-1692.9784),tensor(-1484.4323),tensor(-1155.3397),tensor(-804.1042),tensor(-481.2239),tensor(-1111.0016),tensor(-858.7533),tensor(-666.4850),tensor(-507.8892),tensor(-547.6897),tensor(-1263.5217),tensor(-320.6271),tensor(-295.7065),tensor(-325.2097),tensor(-149.7414),tensor(-144.6630),tensor(-89.7765),tensor(-266.1488),tensor(-112.2781),tensor(-163.8683),tensor(-48.0492),tensor(-68.7041),tensor(-35.1375),tensor(-45.7895),tensor(-22.1803),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-0_non-skip-2_dropout:False_reduction:True_R2Loss,tensor(-718.1323),tensor(-759.0609),tensor(-1089.7183),tensor(-1394.6936),tensor(-487.9149),tensor(-321.7385),tensor(-855.4137),tensor(-348.7529),tensor(-445.0727),tensor(-347.3796),tensor(-471.0751),tensor(-416.6877),tensor(-436.8923),tensor(-727.5857),tensor(-595.9016),tensor(-462.8897),tensor(-338.0475),tensor(-685.4206),tensor(-248.0399),tensor(-244.8214),tensor(-255.4981),tensor(-177.9761),tensor(-165.0908),tensor(-136.2817),tensor(-192.0272),tensor(-152.9731),tensor(-90.6745),tensor(-93.3168),tensor(-200.3580),tensor(-87.1033),tensor(-125.3723),tensor(-81.0793),tensor(-55.7672),tensor(-68.0753),tensor(-50.8181),tensor(-40.5121),tensor(-58.5389),tensor(-27.4804),tensor(-43.9725),tensor(-42.0301),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-0_non-skip-3_dropout:False_reduction:True_R2Loss,tensor(-134.4257),tensor(-76.7398),tensor(-134.9078),tensor(-63.7295),tensor(-144.5189),tensor(-167.6325),tensor(-68.7178),tensor(-106.3050),tensor(-58.0533),tensor(-138.1752),tensor(-101.5055),tensor(-121.5506),tensor(-82.0083),tensor(-40.0332),tensor(-113.3584),tensor(-98.2452),tensor(-97.7017),tensor(-102.3521),tensor(-24.7937),tensor(-79.8725),tensor(-65.2377),tensor(-81.4964),tensor(-51.2445),tensor(-28.4541),tensor(-43.1354),tensor(-41.5410),tensor(-17.5560),tensor(-61.2554),tensor(-109.7572),tensor(-22.1444),tensor(-15.7301),tensor(-26.0463),tensor(-26.1692),tensor(-69.3785),tensor(-22.1750),tensor(-15.8065),tensor(-26.4922),tensor(-11.2613),tensor(-15.0644),tensor(-7.2966),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-0_non-skip-4_dropout:False_reduction:True_R2Loss,tensor(-11.1935),tensor(-9.2549),tensor(-9.8136),tensor(-16.5232),tensor(-24.0076),tensor(-16.2376),tensor(-4.8411),tensor(-13.5750),tensor(-9.5652),tensor(-24.1849),tensor(-15.7198),tensor(-13.4374),tensor(-6.0959),tensor(-7.1361),tensor(-5.9186),tensor(-11.3843),tensor(-13.4395),tensor(-9.5671),tensor(-14.7532),tensor(-9.9939),tensor(-7.2893),tensor(-16.3906),tensor(-4.7969),tensor(-10.3604),tensor(-13.7788),tensor(-3.5962),tensor(-5.2550),tensor(-11.6559),tensor(-7.5278),tensor(-6.2120),tensor(-16.6284),tensor(-6.3577),tensor(-9.0473),tensor(-39.5732),tensor(-7.8340),tensor(-1.6146),tensor(-4.1621),tensor(-4.8060),tensor(-9.5047),tensor(-4.1572),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-1_non-skip-1_dropout:False_reduction:False_R2Loss,tensor(0.1340),tensor(-0.1458),tensor(0.1448),tensor(0.0123),tensor(0.3253),tensor(-0.4414),tensor(0.0372),tensor(0.4090),tensor(0.0683),tensor(-0.2986),tensor(-0.0540),tensor(-0.1439),tensor(0.5061),tensor(-0.0355),tensor(0.5501),tensor(0.4856),tensor(0.3173),tensor(0.4268),tensor(0.4113),tensor(0.1232),tensor(0.5636),tensor(0.5607),tensor(0.5283),tensor(0.3800),tensor(0.6086),tensor(0.6046),tensor(0.5214),tensor(0.3943),tensor(0.3891),tensor(0.5313),tensor(0.4370),tensor(0.1937),tensor(0.3531),tensor(0.5839),tensor(0.6002),tensor(0.5950),tensor(0.5517),tensor(0.5847),tensor(0.2494),tensor(0.4473),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-1_non-skip-2_dropout:False_reduction:False_R2Loss,tensor(-0.0291),tensor(-0.0526),tensor(-0.1555),tensor(-0.0597),tensor(0.0042),tensor(0.0367),tensor(-0.2429),tensor(-0.0039),tensor(0.0247),tensor(0.0344),tensor(0.1514),tensor(0.1693),tensor(0.2401),tensor(0.3140),tensor(0.2437),tensor(-0.0488),tensor(0.3724),tensor(0.4244),tensor(0.2844),tensor(0.4463),tensor(0.4488),tensor(0.4388),tensor(0.4626),tensor(0.4898),tensor(0.2062),tensor(0.5558),tensor(0.5488),tensor(0.5363),tensor(0.4059),tensor(-0.0701),tensor(0.5534),tensor(0.5813),tensor(0.3305),tensor(0.5802),tensor(0.3003),tensor(-0.0662),tensor(0.6025),tensor(0.5445),tensor(0.5496),tensor(0.5540),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
