,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
skip-0_non-skip-1_dropout:False_reduction:False_MSE,-29.318092390829463,-92.74511730816246,-41.26787831886598,-11.859637493595883,-23.151829051018552,-5.804490167377606,-6.025819005852075,-5.1485665701789936,-5.1792801749026784,-13.2569907351578,-2.2231947079575884,-3.114870006496922,-2.065809036344722,-2.0027278213118387,-2.429963945294708,-1.910762041271088,-1.0659103842016358,-1.0999364694937643,-1.0712227929143148,-0.7404010817448238,-0.4893501659341783,-0.5935708712609988,-0.3051287026376576,-0.3180849971213695,-0.3597281287489282,-0.4478703440397227,-1.5289892540268724,-0.1027092083747397,-0.259988808750705,-0.1701367774790133,-0.1098582740838325,-0.1045604196170058,-0.1235226673554958,-0.6520544178533335,-0.0384903719265316,-0.5576277530241035,-0.176677710697927,-0.0766795430855726,0.1215549013789566,-0.0821719086746563,
skip-0_non-skip-2_dropout:False_reduction:False_MSE,-9.272750492499942,-4.868300217083136,-4.1269253004319335,-3.4220937518294403,-7.849437607744566,-2.4032155217882365,-4.200200407567401,-4.142670225263612,-2.537608193117796,-1.67314731516965,-2.389318319595923,-4.711167910320107,-1.0713001081898117,-18.82326636477699,-1.3586564965865906,-2.6027264136601107,-0.7150157876667288,-1.8888130121181828,-0.6664987486880625,-0.3520321282595378,-0.7651252376252629,-0.7638620366946369,-1.2494271959943395,-0.3678976617845478,-0.2002416513236622,-0.2479757221733285,-0.1878168634074783,-0.2026115001718268,-0.840794631956952,-1.3529159655895076,0.0028010564980613,0.1671865839423799,-0.0819626183549925,0.124361738724832,-0.0705414510780116,0.1085125468129524,0.0953242190183547,0.0697520552152266,-0.6617310973037371,-0.0975991847302021,
skip-0_non-skip-3_dropout:False_reduction:False_MSE,-8.93555485815385,-30.91889897002151,-5.097781792037609,-7.117334095831677,-13.179400558370308,-6.548755667806247,-5.183113591438684,-4.070662402611277,-8.01176049607712,-2.4892381374140715,-2.795419382096414,-1.7668986110162168,-2.481418163705293,-2.0431183407847544,-1.4223736857733216,-1.3296984961679037,-0.629020843122496,-0.7342601262817388,-0.8081337581635583,-0.6658569968211321,-0.4027578249697477,-0.3309913825760123,-0.4684926682816164,-0.4724402093110508,-0.2508303387111269,-0.2556298703227126,-0.4292446851162856,-0.1661968699588401,-0.1651754698687306,-0.3101524793646324,-0.1178351609945535,-0.0250983346135565,0.0456124702070032,-0.3096426769347069,-0.1762559466177267,-0.0080695544558789,-0.1792216538074761,0.157001181416482,0.1715702075721726,0.1822854473362796,
skip-0_non-skip-4_dropout:False_reduction:False_MSE,-49.2702538668612,-47.32085969516972,-27.30064782359336,-21.123166865592275,-6.624905035787562,-4.88708843308508,-3.8462338782510224,-2.8468258371136583,-2.2851970723558432,-1.5162075207415409,-1.197122392227353,-0.7427511764213255,-0.546544539297103,-0.686200056754648,-0.2944677408287341,-0.5705323455389693,-0.3181023216050434,-0.2867711424472974,-0.6432497666397798,-0.4027200569546653,-0.1737468934209302,-0.3711477856577665,-0.0006435743408311,-0.2955527191644543,-0.0066187530615362,-0.4321053195615569,-0.1687432828788913,0.0469251993384711,-0.3940845975590947,-0.2536902698153676,0.0961566475842317,0.1608706181242099,0.0526305074655677,-0.0977733271940897,-0.0529580845409771,-0.4466818390810304,0.2008805589836995,-0.2824208243439894,-0.1642272826742518,-0.3217351893257829,
skip-0_non-skip-1_dropout:False_reduction:True_MSE,-5.879187802861318,-5.419462156022832,-5.323356673669327,-5.446513025453771,-4.7169243451272935,-5.641000340926478,-5.637577344991218,-5.056093873083805,-4.796298664760733,-4.611369214256442,-6.220330534451993,-5.001446855606812,-8.70032871102073,-4.791955296017653,-5.764606301999682,-5.688641698615263,-9.826560613084489,-5.909016326684681,-23.67813518277909,-10.38029277402378,-11.267069955580906,-18.137612975232365,-6.913174438809463,-7.95819668781867,-8.805156717416667,-4.862056148197838,-8.173710941990636,-13.271419471260028,-12.371782261543537,-16.710160191313964,-8.297480919122522,-16.997082561168007,-12.951369467931112,-11.681701616944403,-80.01007771150573,-27.93144060685367,-34.84402238756033,-26.763843037225865,-43.1259382330066,-69.68392055847752,
skip-0_non-skip-2_dropout:False_reduction:True_MSE,-5.394065062484533,-6.3948135934181325,-18.22384564618872,-157.46223337529787,-12.007634818273234,-5.565760382422179,-8.30253356314323,-6.123704386676185,-5.64699788054784,-7.670248142513638,-54.906122917131725,-12.861356218825994,-17.571536324886157,-7.629495567495044,-15.773963545131778,-18.30776378669321,-7.360931020722144,-7.702984775260037,-294.819171073751,-10.914849457009172,-20.4674761644506,-66.46408588191775,-6.244660842273913,-26.82991653868988,-350.0547998538946,-25.344031056178537,-6.3628851855744575,-23.43919602458677,-586.1545048862629,-8.481939377311244,-6.066095504566384,-28.254812901283582,-65.83258129177106,-20.32076091241848,-8.360319730108053,-30.417857167032835,-35.37876453603173,-109.71473166173152,-84.80164230016605,-34.33389962904072,
skip-0_non-skip-3_dropout:False_reduction:True_MSE,-164.50345487047247,-1246.22408782428,-208.9801354047303,-2918.735842837072,-71.69934258045494,-1894.5273009179168,-841.1707407188529,-414338.6623206804,-247.56893264497387,-265.4850515901835,-24117.574904080662,-181.4648106324362,-315390.26592679374,-1133.471387847328,-76.69955710216381,-3507.8888762216748,-1372.3732346535044,-399.8679275179661,-1556213441139.2285,-363300.7477120425,-176.0998004170525,-907.5050096776508,-3333.3825389863164,-860.1444325364821,-2803.291833595934,-24517.104107382325,-2556.037692457277,-439.7778797571692,-117509.6344709218,-25785.086245738923,-1992431792819.2668,-1098.4182864638865,-40820.89589978271,-93.10476291040663,-374.957389194914,-216.8431797030809,-2910.523569136384,-88.32352983964084,-1854.1710314806217,-2891331.851641552,
skip-0_non-skip-4_dropout:False_reduction:True_MSE,-3419278948500.469,-9135258.734254392,-152.915728986152,-1505.4200297245236,-936915.6869148052,-89978.2472122271,-821.8251595896594,-2567.6319797263072,-513781929572.8799,-9473438685043.322,-392252.7923935292,-1658.5486520270024,-2840.989448530001,-530303.7817067372,-1676222.3498000433,-99743.37087929032,-700872316686.176,-7946673028391.407,-1017346.4635306924,-425.3299300161543,-1512360020500.079,-354078.00143841014,-6098953.376821755,-5218.49050545601,-238013004.63580883,-40283.81161291065,-1568.001305190166,-57264360.57689488,-12219.50991122565,-15750.478382247304,-1111741.670277131,-21268.41970700068,-7719114842030.05,-4719.525312303508,-662088.8123657634,-63229527.766961455,-643655.397937347,-10969.271410006875,-302074226229.2916,-299178.549404791,
skip-1_non-skip-1_dropout:False_reduction:False_MSE,-7.722966039957377,-11.324952183763546,-11.766407299119214,-18.077635573624885,-16.060093318530633,-23.12723096620291,-9.8385742680107,-6.609341594162569,-6.839176299382748,-6.200339013663179,-4.889534866770662,-12.26852143013737,-10.735517809648329,-3.1142443284183616,-4.420807846767121,-2.0025411107353257,-6.080715791401211,-2.6488221602093653,-3.242711797491076,-2.75978758057205,-1.3954463855545411,-1.2568977665900387,-1.1643681433331248,-1.6817006455022652,-0.7375663642478679,-0.5840980169034082,-0.6909833589368924,-1.00450693378385,-0.2608779074313164,-0.6770776613319879,-0.2436722752033173,-0.4760189582704076,-0.0851485304959358,-0.357764880126649,-0.0042487430820092,-1.3361452905005915,-0.2236406461178204,0.1771110893027484,-0.5220078054609446,0.0613421715541298,
skip-1_non-skip-2_dropout:False_reduction:False_MSE,-10.31288048106524,-7.533836501318733,-15.44356559461783,-7.385057507441628,-5.462225090254552,-22.75813522798504,-2.5056117060959964,-5.501010854371155,-2.6153050532876287,-2.537316880342764,-1.990246157479885,-0.9122929060101888,-3.566644242567381,-0.8910578424029209,-1.115118982956978,-6.176239593576182,-0.5708454967640997,-0.744554975200476,-0.3243644255028977,-0.7197077724448436,-0.5003169805692171,-0.2070695456880147,-0.8197993061754812,-0.6379383629725361,-0.0153344086440691,-0.146458484143336,-0.0259981570735058,-0.1765082303874247,-0.0508364321410652,-0.0019272003316461,-0.2435291078059039,0.0004460496016454,-0.9544532427623726,-0.1765415830305524,0.0028887091865241,-0.2897461763097686,0.1734661944320301,0.1603960578353353,0.1518159212104127,-0.3982278307235469,
skip-1_non-skip-3_dropout:False_reduction:False_MSE,-13.830904230568326,-81.6110730719403,-31.7613594101775,-43.06213809042035,-16.794388139862797,-9.069595889285482,-9.484178824970028,-4.549320331904869,-8.895052868374435,-4.99030866729463,-2.922305183822946,-6.857781857688591,-2.195691878875938,-2.5750951406236227,-2.087681971433924,-1.078521122845197,-0.5964731741011353,-1.0065096253927706,-0.7896795491039823,-0.6124687526739759,-1.4934153865794506,-0.5211338068979827,-0.6611250342300716,-0.5108728633756545,-0.8728198617372596,-0.4135723087147498,-0.3010584845890071,-1.117441899505312,-0.0402463404420447,-0.5772286935567644,-0.5460435927134205,-0.0879979942076438,-0.3211834482459738,-0.1088855670420227,0.0728408908964023,-0.2960421400450556,0.0742471847587252,-0.0259480693388997,0.0191610637335147,-0.1582338753619008,
skip-3_non-skip-4_dropout:False_reduction:False_MSE,-7.553307895412961,-14.54738487668443,-7.960007263795241,-10.900725135453786,-9.76691032154398,-5.5146996609666985,-6.012629485714822,-2.908693073031567,-4.960685465816552,-5.040870992497328,-2.7980474997738085,-1.7211529963225347,-2.66027140623348,-2.633293513419302,-0.9934043799288372,-1.5182596409955174,-0.8159148606835027,-0.8468580029263086,-1.132641396305088,-0.4023658636449307,-1.0390232352572142,-0.3814913878185381,-0.4348889007521266,-0.113017394829722,-0.482802205346162,-0.2540304136472899,-0.2504559164007002,0.0018498496001193,-0.3336447184406729,-0.0701196703958622,-0.5593894999047822,0.0205610373433268,-0.0442298746628326,0.0077957397908143,-0.2162495397231069,-0.4134163179913494,0.0770446074449907,-0.1989786352554516,0.108825894457727,-0.2342351802069642,
skip-1_non-skip-1_dropout:False_reduction:True_MSE,-4.773753077815143,-4.69253214711423,-5.567756783601863,-4.960378549830141,-4.775014824217065,-5.916675068193787,-5.26493591450225,-7.616835909725689,-7.038999122685221,-6.800511286664188,-6.006013899347395,-441.29932220548335,-5.542304905363136,-5.215368331798232,-5.002486258415384,-5.038365117241016,-6.0669580754287376,-4.780785015286595,-5.341462135751772,-13.189040035309796,-5.371760290841203,-11.782066538402942,-6.8465976736901935,-5.808649969563022,-6.505261339840213,-5.436025447023767,-7.772000243010259,-6.763543642321444,-7.148029925808574,-7.48054940915911,-16.210721904368253,-6.803452517897021,-31.377929736431,-8.06080571332186,-9.162220563230637,-6.6765528979854905,-13.741992268074693,-10.629102127248103,-13.331892854470889,-22.74063768966765,
skip-1_non-skip-2_dropout:False_reduction:True_MSE,-34.19714507241823,-13.059298601855998,-6.251761701476618,-15.559120403924531,-5.57020494547784,-12.78663509759894,-7.432065143191689,-13.178747466738272,-12.695262006329235,-18.56525139217373,-37.35789095934721,-12.036603111402307,-99.19394494181374,-21.849433220220163,-59.9840153522426,-31.65716186481341,-48.86238509251938,-27.23049042891773,-11.581363490064176,-24.157051233246506,-25.020877038253136,-10.520113058349748,-9.724671968287836,-11.465726571689636,-12.524935135639312,-29.62897856886875,-12.06890246147627,-38.82402071003189,-15.313635855744756,-22.30391013578624,-49.02948761315499,-39.66794069412124,-2552.3135783547136,-32.38175404566225,-781.256008217827,-49.09378155452403,-35.76094565830584,-57.37590592050156,-110.94321142270124,-112.8382421412197,
skip-1_non-skip-3_dropout:False_reduction:True_MSE,-116718.63427090344,-56.34192893768172,-45.75651338061901,-16.114281580087535,-32.65022587133895,-256.6180002487037,-81.13201572947438,-11.766232945509657,-737.9613754110179,-44.26095177018638,-371.5634597729656,-198.8812050362684,-376.4431354088052,-7765.440643109671,-453.42863238546704,-2913.986997211752,-133681.0070767224,-297.6049459767951,-436.6799876581843,-489.793205686057,-33.48010636512532,-80.22683271283063,-209.5840837919529,-416.8484186485703,-497.9615256724255,-1792064471001.8162,-646229172036.4534,-18.35462728101793,-1905.459572871137,-3186.5936092106426,-2232.599386435326,-78.65802023694064,-51.57479919150536,-5447.539849712907,-260.55771748210447,-507.7803724151543,-252.3883328483155,-556.1975492884142,-45089.7667418677,-825.0534454460045,
skip-1_non-skip-4_dropout:False_reduction:True_MSE,-163.53146233548011,-2212.284643827237,-66218.10005157013,-870.0845516347171,-3515044186858.489,-746.2630856017448,-5545.028402084655,-22146.35055597965,-3626291.921008608,-142841.42203655205,-4609.860971191523,-14641.193900978444,-1119284.5751497268,-6256827215.749615,-251749468531.5196,-6687881522921.298,-13563.665224972709,-10452.066129555102,-812.5683216113138,-500.8205335187021,-2107.5770261358057,-663681.8912700717,-242760.98249478784,-17896.082748435623,-56746.53660913205,-515431.7651784977,-569267629.0801457,-100295.60490972758,-481374.0131281592,-463166.310761534,-6700.810103739682,-31010.751469697065,-10825.712335808576,-170169.50212895553,-3159.759442735401,-130425.62495033284,-14206.795478621989,-133834.349722748,-3256.748316539414,-7281.568042962083,
skip-2_non-skip-1_dropout:False_reduction:False_MSE,-31.61886046453639,-172.05542441011713,-119.02568636844975,-259.23249757322105,-19.833827882973463,-21.3839805969693,-92.40192983122232,-22.185742954312246,-81.76535346649932,-36.63711301835942,-20.659094966456014,-21.655304340472217,-16.848508799305886,-19.564771601166026,-91.13438447937368,-9.631162353491808,-14.24626714087039,-8.503793858279169,-7.729941002151736,-33.28160198711284,-12.637944611534348,-4.493545030980131,-10.082641878968362,-5.571570818214599,-4.073513205411408,-3.13861772565402,-4.670102736648031,-5.551596075446316,-2.3717600247133386,-4.543773359693005,-6.472450027642387,-0.643877410980899,-0.6253836479986093,-0.5820828513587291,-7.762172840063557,-0.9919518806492912,-0.356272910633882,-0.6124187541920837,-0.8353874019195101,-0.0040830824918321,
skip-2_non-skip-2_dropout:False_reduction:False_MSE,-23.187379675855084,-25.918766722279088,-13.11558508146973,-16.024859903259433,-8.896568640044611,-29.948005851645814,-23.016350566228432,-8.320245820734458,-34.00756815562579,-7.420828439388861,-13.840793039218774,-6.430810556455838,-10.158618739515171,-5.517809367661678,-14.11064769948352,-3.162306329652712,-4.440986996292478,-3.9072681470755786,-2.9937796856063503,-1.9305449503848204,-15.676264996090527,-1.8194362379722755,-1.8094114472971847,-2.0354307955421422,-1.454809590649448,-2.36351745430999,-1.6903351084729632,-3.99607255015767,-2.464686472893566,-0.6022305866950588,-11.211037423683118,-1.314320543203558,-0.3068714696505002,-0.6728701680870207,-0.2487675508083115,-2.1167537297773684,-0.1171511358835494,-0.6029610954772696,-0.1855756515774868,-0.4771714274459742,
skip-2_non-skip-3_dropout:False_reduction:False_MSE,-5.701395067285639,-5.024031146021628,-4.903042299325618,-7.241478462672316,-4.162523648383624,-3.33123678756339,-3.619024288764849,-4.195875870448269,-2.007136780346566,-0.633797906768362,-0.4963724364172756,-0.5629893161433256,-0.8291412375038095,-0.1436217409779631,-0.3258778596856754,-0.3277224342015606,-0.3405738169665296,-1.1903345114630544,-0.6865003227026972,-0.4745894180780864,-0.3253470802582971,-0.3502589883431179,-0.6849693912201523,-0.0864265064819978,-0.1325651715397136,-0.5589355812493223,0.0411586502119737,-0.2839000987000153,-2.2961858390360947,-2.046501786794446,0.0384681813036625,-0.8635423994990418,0.1432334438541209,-0.0776880669060069,-1.2000908522473437,-0.5651847034216739,0.1154354549434008,0.0067776231046888,-0.0838393563554286,-0.5224261568619356,
skip-3_non-skip-3_dropout:False_reduction:False_MSE,-14.729226070367217,-13.429425693673265,-25.632076080942,-15.005726442919562,-7.73345245592388,-8.840247380456734,-7.144212652940385,-11.702568851283978,-6.022559969379931,-10.435752708991371,-3.5213451196964667,-6.853954805541221,-2.6116147510242924,-2.2652740953901813,-1.9160646329586544,-3.4475893942612466,-3.2759233743717915,-3.6155746152721497,-1.9233843314878527,-1.846667728988564,-1.4564392703212468,-1.0991522363810378,-2.0762775119142094,-0.6646048272140067,-0.8364232879220753,-0.4174476115746386,-0.4651801453609736,-0.9977774178493516,-0.3982533315925973,-0.4576989959603501,-0.1609873009583984,-0.738869779926136,-0.2365285798166149,-0.146173004374233,-0.3349313744245834,-0.0345721969619887,-0.2131772216430743,-0.0488286663458114,0.0117454410233979,-0.1202184071091803,
